1321 東証ETF 日経225連動型上場投資信託（ETF）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2001-07-13","12490","12490","12300","12310","259430","12310"
"2001-07-16","12400","12400","12250","12330","99740","12330"
"2001-07-17","12170","12170","12100","12120","93150","12120"
"2001-07-18","12150","12150","11830","11840","165330","11840"
"2001-07-19","11990","11990","11860","11920","620220","11920"
"2001-07-23","11950","11950","11540","11570","170700","11570"
"2001-07-24","11560","11860","11560","11840","173370","11840"
"2001-07-25","11750","12020","11750","11860","207180","11860"
"2001-07-26","11940","11960","11810","11830","396780","11830"
"2001-07-27","11790","11940","11690","11820","1801620","11820"
"2001-07-30","11900","11900","11540","11580","311850","11580"
"2001-07-31","11670","11870","11660","11850","183190","11850"
"2001-08-01","11950","12000","11810","12000","310730","12000"
"2001-08-02","12120","12420","12120","12390","640190","12390"
"2001-08-03","12360","12360","12230","12240","299960","12240"
"2001-08-06","12160","12320","12100","12280","204600","12280"
"2001-08-07","12110","12390","12060","12290","238960","12290"
"2001-08-08","12270","12290","12130","12150","243030","12150"
"2001-08-09","12000","12020","11740","11740","284070","11740"
"2001-08-10","11840","11860","11720","11750","294380","11750"
"2001-08-13","11670","11670","11420","11520","249010","11520"
"2001-08-14","11630","11950","11600","11950","191560","11950"
"2001-08-15","11840","11840","11650","11730","217690","11730"
"2001-08-16","11550","11590","11450","11520","187770","11520"
"2001-08-17","11580","11580","11420","11430","156940","11430"
"2001-08-20","11300","11400","11220","11260","157780","11260"
"2001-08-21","11350","11440","11160","11320","91630","11320"
"2001-08-22","11200","11500","11190","11400","145190","11400"
"2001-08-23","11430","11430","11120","11140","190500","11140"
"2001-08-24","11200","11250","11090","11190","120990","11190"
"2001-08-27","11390","11390","11210","11210","93240","11210"
"2001-08-28","11230","11260","11070","11220","186560","11220"
"2001-08-29","11180","11180","10970","10990","206280","10990"
"2001-08-30","10940","10980","10810","10910","164410","10910"
"2001-08-31","10740","10860","10670","10700","112400","10700"
"2001-09-03","10740","10760","10370","10390","152860","10390"
"2001-09-04","10430","10760","10340","10760","189950","10760"
"2001-09-05","10620","10650","10460","10620","94970","10620"
"2001-09-06","10570","10810","10520","10630","151730","10630"
"2001-09-07","10450","10580","10410","10510","179830","10510"
"2001-09-10","10330","10460","10180","10200","161860","10200"
"2001-09-11","10240","10360","10200","10340","151350","10340"
"2001-09-12","9500","9800","9340","9340","442400","9340"
"2001-09-13","9630","9690","9470","9640","261690","9640"
"2001-09-14","9660","10050","9580","9970","171390","9970"
"2001-09-17","9600","9650","9450","9490","311850","9490"
"2001-09-18","9790","9950","9650","9750","241160","9750"
"2001-09-19","9720","10060","9710","9970","185070","9970"
"2001-09-20","9800","9850","9680","9770","216850","9770"
"2001-09-21","9470","9590","9390","9560","278060","9560"
"2001-09-25","9930","9930","9610","9720","169450","9720"
"2001-09-26","9620","9730","9580","9640","100750","9640"
"2001-09-27","9610","9750","9590","9710","132000","9710"
"2001-09-28","9870","9950","9670","9670","192010","9670"
"2001-10-01","9770","10020","9620","10020","231060","10020"
"2001-10-02","9940","10190","9880","10180","177630","10180"
"2001-10-03","10210","10240","9920","9950","180960","9950"
"2001-10-04","10240","10250","10080","10210","251170","10210"
"2001-10-05","10210","10290","10060","10250","174350","10250"
"2001-10-09","10110","10150","10000","10000","155620","10000"
"2001-10-10","9980","10060","9950","9980","89050","9980"
"2001-10-11","10160","10400","10140","10350","166810","10350"
"2001-10-12","10500","10650","10460","10640","266700","10640"
"2001-10-15","10410","10530","10410","10520","82650","10520"
"2001-10-16","10410","10720","10410","10580","166280","10580"
"2001-10-17","10720","10810","10600","10780","182210","10780"
"2001-10-18","10640","10670","10450","10450","130980","10450"
"2001-10-19","10500","10620","10460","10540","91950","10540"
"2001-10-22","10560","10610","10540","10600","61620","10600"
"2001-10-23","10770","10890","10700","10850","206850","10850"
"2001-10-24","10820","10980","10750","10750","177780","10750"
"2001-10-25","10820","11060","10820","10980","180900","10980"
"2001-10-26","11040","11040","10810","10830","291080","10830"
"2001-10-29","10830","10830","10660","10680","115570","10680"
"2001-10-30","10500","10550","10460","10550","183190","10550"
"2001-10-31","10440","10510","10370","10400","144400","10400"
"2001-11-01","10500","10530","10350","10360","216750","10360"
"2001-11-02","10590","10590","10340","10420","197860","10420"
"2001-11-05","10460","10470","10380","10470","78400","10470"
"2001-11-06","10590","10670","10530","10670","122410","10670"
"2001-11-07","10660","10660","10310","10320","168050","10320"
"2001-11-08","10360","10450","10300","10450","109810","10450"
"2001-11-09","10430","10450","10220","10220","147480","10220"
"2001-11-12","10250","10290","10100","10130","239330","10130"
"2001-11-13","10060","10150","9980","10150","219220","10150"
"2001-11-14","10220","10260","10100","10160","294200","10160"
"2001-11-15","10190","10530","10180","10530","299310","10530"
"2001-11-16","10540","10870","10450","10610","394070","10610"
"2001-11-19","10650","10870","10630","10760","192340","10760"
"2001-11-20","10800","10840","10590","10690","111120","10690"
"2001-11-21","10550","10820","10510","10700","120560","10700"
"2001-11-22","10650","10750","10550","10750","142870","10750"
"2001-11-26","10860","11110","10860","11050","208250","11050"
"2001-11-27","11000","11200","10930","10940","117770","10940"
"2001-11-28","10870","10940","10660","10730","114550","10730"
"2001-11-29","10630","10700","10540","10680","214820","10680"
"2001-11-30","10720","10740","10560","10680","150030","10680"
"2001-12-03","10710","10720","10390","10430","233910","10430"
"2001-12-04","10400","10500","10360","10480","76130","10480"
"2001-12-05","10630","10780","10540","10720","87100","10720"
"2001-12-06","10980","11060","10810","10840","312750","10840"
"2001-12-07","10800","10920","10770","10790","125400","10790"
"2001-12-10","10750","10750","10580","10610","114850","10610"
"2001-12-11","10550","10620","10490","10560","237540","10560"
"2001-12-12","10540","10850","10520","10800","130110","10800"
"2001-12-13","10700","10710","10450","10480","220430","10480"
"2001-12-14","10450","10620","10390","10560","113950","10560"
"2001-12-17","10500","10500","10310","10340","103660","10340"
"2001-12-18","10490","10590","10340","10450","61600","10450"
"2001-12-19","10400","10510","10350","10430","85110","10430"
"2001-12-20","10500","10530","10360","10470","62770","10470"
"2001-12-21","10390","10420","10260","10340","89350","10340"
"2001-12-25","10370","10390","10190","10240","31640","10240"
"2001-12-26","10220","10300","10170","10170","63530","10170"
"2001-12-27","10260","10500","10200","10400","59100","10400"
"2001-12-28","10490","10570","10420","10500","66750","10500"